,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
32,81,A1,crossed,head initial,4,"[[[0,1],0],[2]]",False,valtal valtal moy kolkul moy siso rae,valtal kolkul valtal siso moy moy rae,vvmkmsr,vkvsmmr,0.42857142857142894,vkst,left,atop,vmkmvrs,vrkmvms,srvmkmv,smvrkmv,vmkmvrs,vmkrvms,srvmkmv,smvmkrv,srvmkmv,smvmkrv,vmkmvrs,vmkrvms,srvmkmv,smvrkmv,vmkmvrs,vrkmvms,vkvsrmm,vkvsmmr,svkvmmr,svkvmrm,vkvsrmm,vkvsmrm,svkvmmr,svkvrmm,mmrsvkv,rmmsvkv,rmmvkvs,mrmvkvs,mmrsvkv,mrmsvkv,rmmvkvs,mmrvkvs,mmrvkvs,rmmvkvs,rmmsvkv,mrmsvkv,mmrvkvs,mrmvkvs,rmmsvkv,mmrsvkv,vkvsmmr,vkvsrmm,svkvrmm,svkvmrm,vkvsmmr,vkvsmrm,svkvrmm,svkvmmr,rmmsvkv,mmrsvkv,mmrvkvs,mrmvkvs,rmmsvkv,mrmsvkv,mmrvkvs,rmmvkvs,svkvrmm,svkvmmr,vkvsmmr,vkvsmrm,svkvrmm,svkvmrm,vkvsmmr,vkvsrmm
33,82,A1,crossed,head initial,4,"[[[2,0],1],2]",False,siso moy valtal moy kolkul moy siso,siso valtal kolkul siso moy moy moy,smvmkms,svksmmm,0.28571428571428603,vkst,left,atop,smvmkms,srvmkrs,smvmkms,srvmkrs,smkmvms,srkmvrs,smkmvms,srkmvrs,smkmvms,srkmvrs,smkmvms,srkmvrs,smvmkms,srvmkrs,smvmkms,srvmkrs,svksmmm,svksrmr,svksmmm,svksrmr,skvsmmm,skvsrmr,skvsmmm,skvsrmr,mmmskvs,rmrskvs,mmmskvs,rmrskvs,mmmsvks,rmrsvks,mmmsvks,rmrsvks,mmmsvks,rmrsvks,mmmsvks,rmrsvks,mmmskvs,rmrskvs,mmmskvs,rmrskvs,svksmmm,svksrmr,svksmmm,svksrmr,skvsmmm,skvsrmr,skvsmmm,skvsrmr,mmmskvs,rmrskvs,mmmskvs,rmrskvs,mmmsvks,rmrsvks,mmmsvks,rmrsvks,skvsmmm,skvsrmr,skvsmmm,skvsrmr,svksmmm,svksrmr,svksmmm,svksrmr
34,83,A1,crossed,head initial,4,"[0,[3,[[0,[0]]]]]",False,valtal moy tontin rae valtal rae valtal,valtal tontin valtal valtal moy rae rae,vmtrvrv,vtvvmrr,0.42857142857142894,vkst,left,atop,vmtrvrv,vrtrvrv,vmvrvrt,vrvrvrt,trvrvmv,trvrvrv,vrvrtmv,vrvrtrv,vrvrtmv,vrvrtrv,trvrvmv,trvrvrv,vmvrvrt,vrvrvrt,vmtrvrv,vrtrvrv,vtvvrrm,vtvvrrr,vvvtrrm,vvvtrrr,tvvvmrr,tvvvrrr,vvtvmrr,vvtvrrr,mrrvvtv,rrrvvtv,mrrtvvv,rrrtvvv,rrmvvvt,rrrvvvt,rrmvtvv,rrrvtvv,mrrvtvv,rrrvtvv,mrrvvvt,rrrvvvt,rrmtvvv,rrrtvvv,rrmvvtv,rrrvvtv,vtvvmrr,vtvvrrr,vvvtmrr,vvvtrrr,tvvvrrm,tvvvrrr,vvtvrrm,vvtvrrr,rrmvvtv,rrrvvtv,rrmtvvv,rrrtvvv,mrrvvvt,rrrvvvt,mrrvtvv,rrrvtvv,vvtvrrm,vvtvrrr,tvvvrrm,tvvvrrr,vvvtmrr,vvvtrrr,vtvvmrr,vtvvrrr
35,84,A1,crossed,head initial,4,"[[[2,[1]],[2]],[3]]",False,siso kolkul siso tontin rae rae rae,siso kolkul siso tontin rae rae rae,skstrrr,skstrrr,1.0,vkst,left,atop,srkrsrt,smkrsmt,trsrkrs,tmsrkms,srkrsrt,smkrsmt,trsrkrs,tmsrkms,trsrkrs,tmsrkms,srkrsrt,smkrsmt,trsrkrs,tmsrkms,srkrsrt,smkrsmt,skstrrr,skstmrm,tsksrrr,tsksmrm,skstrrr,skstmrm,tsksrrr,tsksmrm,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrskst,mrmskst,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrtsks,mrmtsks,skstrrr,skstmrm,tsksrrr,tsksmrm,skstrrr,skstmrm,tsksrrr,tsksmrm,rrrtsks,mrmtsks,rrrskst,mrmskst,rrrtsks,mrmtsks,rrrskst,mrmskst,tsksrrr,tsksmrm,skstrrr,skstmrm,tsksrrr,tsksmrm,skstrrr,skstmrm
36,85,A1,crossed,head initial,4,"[2,[0,[[2,3]]]]",False,siso moy valtal rae siso tontin rae,siso valtal siso tontin moy rae moy,smvrstr,svstmrm,0.42857142857142894,vkst,left,atop,smvrsmt,srvrsmt,smsmtrv,srsmtrv,vrtmsms,vrtmsrs,tmsrvms,tmsrvrs,tmsrvms,tmsrvrs,vrtmsms,vrtmsrs,smsmtrv,srsmtrv,smvrsmt,srvrsmt,svstmrm,svstmrr,sstvrmm,sstvrmr,vtssmmr,vtssrmr,tsvsmrm,tsvsrrm,mrmtsvs,rrmtsvs,mmrvtss,rmrvtss,rmmsstv,rmrsstv,mrmsvst,mrrsvst,mrmsvst,rrmsvst,mmrsstv,rmrsstv,rmmvtss,rmrvtss,mrmtsvs,mrrtsvs,svstmrm,svstrrm,sstvmmr,sstvrmr,vtssrmm,vtssrmr,tsvsmrm,tsvsmrr,mrmtsvs,mrrtsvs,rmmvtss,rmrvtss,mmrsstv,rmrsstv,mrmsvst,rrmsvst,tsvsmrm,tsvsmrr,vtssrmm,vtssrmr,sstvmmr,sstvrmr,svstmrm,svstrrm
37,86,A1,crossed,head initial,4,"[[[1,[1]],3],0]",False,kolkul kolkul rae moy tontin valtal moy,kolkul kolkul tontin valtal rae moy moy,kkrmtvm,kktvrmm,0.42857142857142894,vkst,left,atop,krkmtmv,kmkmtrv,krkmtmv,kmkmtrv,vmtmkrk,vrtmkmk,vmtmkrk,vrtmkmk,vmtmkrk,vrtmkmk,vmtmkrk,vrtmkmk,krkmtmv,kmkmtrv,krkmtmv,kmkmtrv,kktvmmr,kktvrmm,kktvmmr,kktvrmm,vtkkrmm,vtkkmmr,vtkkrmm,vtkkmmr,rmmvtkk,mmrvtkk,rmmvtkk,mmrvtkk,mmrkktv,rmmkktv,mmrkktv,rmmkktv,rmmkktv,mmrkktv,rmmkktv,mmrkktv,mmrvtkk,rmmvtkk,mmrvtkk,rmmvtkk,kktvrmm,kktvmmr,kktvrmm,kktvmmr,vtkkmmr,vtkkrmm,vtkkmmr,vtkkrmm,mmrvtkk,rmmvtkk,mmrvtkk,rmmvtkk,rmmkktv,mmrkktv,rmmkktv,mmrkktv,vtkkmmr,vtkkrmm,vtkkmmr,vtkkrmm,kktvrmm,kktvmmr,kktvrmm,kktvmmr
38,87,A1,crossed,head initial,4,"[[[1,[0]],[0]],1]",False,kolkul valtal valtal rae moy kolkul rae,kolkul valtal valtal kolkul rae rae moy,kvvrmkr,kvvkrrm,0.42857142857142894,vkst,left,atop,krvrvmk,kmvrvrk,vrvrkmk,vrvmkrk,kmkrvrv,krkmvrv,kmvrvrk,krvrvmk,kmvrvrk,krvrvmk,kmkrvrv,krkmvrv,vrvrkmk,vrvmkrk,krvrvmk,kmvrvrk,kvvkmrr,kvvkrrm,vvkkmrr,vvkkrmr,kkvvrrm,kkvvrmr,kvvkrrm,kvvkmrr,rrmkvvk,mrrkvvk,rrmkkvv,rmrkkvv,mrrvvkk,rmrvvkk,mrrkvvk,rrmkvvk,rrmkvvk,mrrkvvk,rrmvvkk,rmrvvkk,mrrkkvv,rmrkkvv,mrrkvvk,rrmkvvk,kvvkrrm,kvvkmrr,vvkkrrm,vvkkrmr,kkvvmrr,kkvvrmr,kvvkmrr,kvvkrrm,mrrkvvk,rrmkvvk,mrrkkvv,rmrkkvv,rrmvvkk,rmrvvkk,rrmkvvk,mrrkvvk,kvvkmrr,kvvkrrm,kkvvmrr,kkvvrmr,vvkkrrm,vvkkrmr,kvvkrrm,kvvkmrr
39,88,A1,crossed,head initial,4,"[[[3,3],[0]],[2]]",False,tontin tontin moy valtal rae siso rae,tontin tontin valtal siso moy rae rae,ttmvrsr,ttvsmrr,0.42857142857142894,vkst,left,atop,tmtrvrs,trtrvms,srvrtmt,smvrtrt,tmtrvrs,trtrvms,srvrtmt,smvrtrt,srvrtmt,smvrtrt,tmtrvrs,trtrvms,srvrtmt,smvrtrt,tmtrvrs,trtrvms,ttvsrrm,ttvsmrr,svttmrr,svttrrm,ttvsrrm,ttvsmrr,svttmrr,svttrrm,mrrsvtt,rrmsvtt,rrmttvs,mrrttvs,mrrsvtt,rrmsvtt,rrmttvs,mrrttvs,mrrttvs,rrmttvs,rrmsvtt,mrrsvtt,mrrttvs,rrmttvs,rrmsvtt,mrrsvtt,ttvsmrr,ttvsrrm,svttrrm,svttmrr,ttvsmrr,ttvsrrm,svttrrm,svttmrr,rrmsvtt,mrrsvtt,mrrttvs,rrmttvs,rrmsvtt,mrrsvtt,mrrttvs,rrmttvs,svttrrm,svttmrr,ttvsmrr,ttvsrrm,svttrrm,svttmrr,ttvsmrr,ttvsrrm
21,70,A1,crossed,head initial,3,"[1,[3,[3]]]",True,kolkul moy tontin tontin rae,kolkul tontin tontin moy rae,kmttr,kttmr,0.6,vkst,left,atop,kmtrt,krtrt,kmtrt,krtrt,trtmk,trtrk,trtmk,trtrk,trtmk,trtrk,trtmk,trtrk,kmtrt,krtrt,kmtrt,krtrt,kttrm,kttrr,kttrm,kttrr,ttkmr,ttkrr,ttkmr,ttkrr,mrttk,rrttk,mrttk,rrttk,rmktt,rrktt,rmktt,rrktt,mrktt,rrktt,mrktt,rrktt,rmttk,rrttk,rmttk,rrttk,kttmr,kttrr,kttmr,kttrr,ttkrm,ttkrr,ttkrm,ttkrr,rmttk,rrttk,rmttk,rrttk,mrktt,rrktt,mrktt,rrktt,ttkrm,ttkrr,ttkrm,ttkrr,kttmr,kttrr,kttmr,kttrr
20,69,A1,crossed,head initial,3,"[[1,[2]],[2]]",True,tontin siso siso rae rae,kolkul siso siso rae rae,tssrr,kssrr,0.8,vkst,left,atop,krsrs,krsms,srsrk,smsrk,krsrs,krsms,srsrk,smsrk,srsrk,smsrk,krsrs,krsms,srsrk,smsrk,krsrs,krsms,kssrr,kssmr,sskrr,sskrm,kssrr,kssmr,sskrr,sskrm,rrssk,rmssk,rrkss,mrkss,rrssk,rmssk,rrkss,mrkss,rrkss,rmkss,rrssk,mrssk,rrkss,rmkss,rrssk,mrssk,kssrr,kssrm,sskrr,sskmr,kssrr,kssrm,sskrr,sskmr,rrssk,mrssk,rrkss,rmkss,rrssk,mrssk,rrkss,rmkss,sskrr,sskmr,kssrr,kssrm,sskrr,sskmr,kssrr,kssrm
