"","workerId","conditionCE","conditionHeadN","level","arrayTraining","seenInTraining","participantText","compositionalAnswer","encodingCorrected","encodingCompositional","correctness","consonants","prepMGloss","prepRGloss"
"956","A10","crossed","head final",3,"[0,[[2,0]]]","true","rae tinkin volsol volsol kakan","moy rae sulsal kakan sulsal","rtvvk","mrsks",0,"stkv","under","atop"
"957","A10","crossed","head final",3,"[[3,2],[0]]","true","volsol moy tinkin sulsal sulsal","rae moy sulsal kakan volsol","vmtss","rmskv",0.2,"stkv","under","atop"
"958","A10","crossed","head final",3,"[[1,[2]],[2]]","true","rae moy kakan volsol tinkin","rae rae kakan kakan tinkin","rmkvt","rrkkt",0.6,"stkv","under","atop"
"959","A10","crossed","head final",3,"[1,[3,[3]]]","true","rae moy kakan kakan tinkin","rae moy volsol volsol tinkin","rmkkt","rmvvt",0.6,"stkv","under","atop"
"960","A10","crossed","head final",3,"[[1,[2]],2]","true","moy kakan volsol sulsal tinkin","moy rae kakan kakan tinkin","mkvst","mrkkt",0.4,"stkv","under","atop"
"961","A10","crossed","head final",3,"[[0,3],[1]]","true","moy kakan volsol volsol tinkin","rae moy tinkin volsol sulsal","mkvvt","rmtvs",0.2,"stkv","under","atop"
"962","A10","crossed","head final",3,"[0,[[1,1]]]","false","kakan moy rae rae moy","moy rae tinkin tinkin sulsal","kmrrm","mrtts",0.2,"stkv","under","atop"
"963","A10","crossed","head final",3,"[[3,3],0]","false","volsol tinkin kakan volsol volsol","moy moy sulsal volsol volsol","vtkvv","mmsvv",0.4,"stkv","under","atop"
"964","A10","crossed","head final",3,"[[1,[1]],0]","false","moy volsol kakan tinkin tinkin","moy rae sulsal tinkin tinkin","mvktt","mrstt",0.6,"stkv","under","atop"
"965","A10","crossed","head final",3,"[[1,2],0]","false","rae rae moy volsol tinkin","moy moy sulsal kakan tinkin","rrmvt","mmskt",0.2,"stkv","under","atop"
"966","A10","crossed","head final",4,"[3,[2,[2,[3]]]]","false","rae kakan tinkin volsol sulsal tinkin tinkin","rae moy moy volsol kakan kakan volsol","rktvstt","rmmvkkv",0.285714285714286,"stkv","under","atop"
"967","A10","crossed","head final",4,"[1,[[2,[2,1]]]]","false","rae volsol volsol kakan moy tinkin sulsal","moy moy rae tinkin kakan kakan tinkin","rvvkmts","mmrtkkt",0.142857142857143,"stkv","under","atop"
"968","A10","crossed","head final",4,"[[[3,1],[3]],3]","false","sulsal kakan kakan kakan volsol volsol moy","moy rae moy volsol volsol tinkin volsol","skkkvvm","mrmvvtv",0.142857142857143,"stkv","under","atop"
"969","A10","crossed","head final",4,"[0,[[3,[[1,1]]]]]","false","volsol kakan rae kakan kakan kakan tinkin","moy rae rae tinkin tinkin volsol sulsal","vkrkkkt","mrrttvs",0.142857142857143,"stkv","under","atop"
"970","A10","crossed","head final",4,"[[[0,1],0],[2]]","false","rae tinkin sulsal kakan kakan volsol volsol","rae moy moy kakan sulsal tinkin sulsal","rtskkvv","rmmksts",0.285714285714286,"stkv","under","atop"
"971","A10","crossed","head final",4,"[[[2,0],1],2]","false","rae volsol kakan tinkin moy moy moy","moy moy moy kakan tinkin sulsal kakan","rvktmmm","mmmktsk",0.142857142857143,"stkv","under","atop"
"972","A10","crossed","head final",4,"[0,[3,[[0,[0]]]]]","false","rae volsol volsol volsol volsol volsol tinkin","rae rae moy sulsal sulsal volsol sulsal","rvvvvvt","rrmssvs",0.285714285714286,"stkv","under","atop"
"973","A10","crossed","head final",4,"[[[2,[1]],[2]],[3]]","false","rae volsol volsol kakan sulsal kakan rae","rae rae rae volsol kakan tinkin kakan","rvvkskr","rrrvktk",0.428571428571429,"stkv","under","atop"
"974","A10","crossed","head final",4,"[2,[0,[[2,3]]]]","false","rae volsol tinkin kakan sulsal volsol volsol","moy rae moy volsol kakan sulsal kakan","rvtksvv","mrmvksk",0.285714285714286,"stkv","under","atop"
"975","A10","crossed","head final",4,"[[[1,[1]],3],0]","false","rae volsol kakan volsol volsol volsol volsol","moy moy rae sulsal volsol tinkin tinkin","rvkvvvv","mmrsvtt",0.142857142857143,"stkv","under","atop"
"976","A10","crossed","head final",4,"[[[1,[0]],[0]],1]","false","volsol volsol kakan kakan moy moy moy","moy rae rae tinkin sulsal sulsal tinkin","vvkkmmm","mrrtsst",0,"stkv","under","atop"
"977","A10","crossed","head final",4,"[[[3,3],[0]],[2]]","false","rae volsol tinkin kakan sulsal volsol volsol","rae rae moy kakan sulsal volsol volsol","rvtksvv","rrmksvv",0.714285714285714,"stkv","under","atop"
"9669","A100","crossed","head initial",1,"0","true","sisu","sisu","s","s",1,"svkt","horiz","atop"
"9670","A100","crossed","head initial",1,"1","true","vinvi","vinvi","v","v",1,"svkt","horiz","atop"
"9671","A100","crossed","head initial",1,"2","true","konkan","konkan","k","k",1,"svkt","horiz","atop"
"9672","A100","crossed","head initial",1,"3","true","tulsul","tulsul","t","t",1,"svkt","horiz","atop"
"9673","A100","crossed","head initial",2,"[3,3]","true","moy moy tulsul","tulsul tulsul moy","mmt","ttm",0.333333333333333,"svkt","horiz","atop"
"9674","A100","crossed","head initial",2,"[1,3]","true","vinvi tulsul moy","vinvi tulsul moy","vtm","vtm",1,"svkt","horiz","atop"
"9675","A100","crossed","head initial",2,"[0,[1]]","true","vinvi sisu rae","sisu vinvi rae","vsr","svr",0.666666666666667,"svkt","horiz","atop"
"9676","A100","crossed","head initial",2,"[3,[1]]","true","vinvi tulsul rae","tulsul vinvi rae","vtr","tvr",0.666666666666667,"svkt","horiz","atop"
"9677","A100","crossed","head initial",2,"[2,[1]]","true","vinvi konkan rae","konkan vinvi rae","vkr","kvr",0.666666666666667,"svkt","horiz","atop"
"9678","A100","crossed","head initial",2,"[2,1]","true","konkan vinvi moy","konkan vinvi moy","kvm","kvm",1,"svkt","horiz","atop"
"9679","A100","crossed","head initial",2,"[0,0]","true","sisu sisu moy","sisu sisu moy","ssm","ssm",1,"svkt","horiz","atop"
"9680","A100","crossed","head initial",2,"[3,[0]]","true","sisu tulsul rae","tulsul sisu rae","str","tsr",0.666666666666667,"svkt","horiz","atop"
"9681","A100","crossed","head initial",2,"[2,2]","false","konkan konkan moy","konkan konkan moy","kkm","kkm",1,"svkt","horiz","atop"
"9682","A100","crossed","head initial",2,"[2,[3]]","false","tulsul konkan rae","konkan tulsul rae","tkr","ktr",0.666666666666667,"svkt","horiz","atop"
"9683","A100","crossed","head initial",2,"[0,[2]]","false","sisu konkan rae","sisu konkan rae","skr","skr",1,"svkt","horiz","atop"
"9684","A100","crossed","head initial",2,"[0,1]","false","sisu vinvi moy","sisu vinvi moy","svm","svm",1,"svkt","horiz","atop"
"9685","A100","crossed","head initial",3,"[[3,[3]],[2]]","true","tulsul tulsul konkan rae rae","tulsul tulsul konkan rae rae","ttkrr","ttkrr",1,"svkt","horiz","atop"
"9686","A100","crossed","head initial",3,"[2,[3,[0]]]","true","konkan sisu tulsul moy rae","konkan tulsul sisu moy rae","kstmr","ktsmr",0.8,"svkt","horiz","atop"
"9687","A100","crossed","head initial",3,"[0,[[2,0]]]","true","sisu konkan sisu moy rae","sisu konkan sisu rae moy","sksmr","sksrm",0.8,"svkt","horiz","atop"
"9688","A100","crossed","head initial",3,"[[3,2],[0]]","true","tulsul konkan sisu rae moy","tulsul konkan sisu moy rae","tksrm","tksmr",0.8,"svkt","horiz","atop"
"9689","A100","crossed","head initial",3,"[[1,[2]],[2]]","true","vinvi konkan konkan rae rae","vinvi konkan konkan rae rae","vkkrr","vkkrr",1,"svkt","horiz","atop"
"9690","A100","crossed","head initial",3,"[1,[3,[3]]]","true","vinvi tulsul tulsul rae moy","vinvi tulsul tulsul moy rae","vttrm","vttmr",0.8,"svkt","horiz","atop"
"9691","A100","crossed","head initial",3,"[[1,[2]],2]","true","vinvi konkan konkan moy rae","vinvi konkan konkan rae moy","vkkmr","vkkrm",0.8,"svkt","horiz","atop"
"9692","A100","crossed","head initial",3,"[[0,3],[1]]","true","sisu tulsul vinvi moy rae","sisu tulsul vinvi moy rae","stvmr","stvmr",1,"svkt","horiz","atop"
"9693","A100","crossed","head initial",3,"[0,[[1,1]]]","false","sisu vinvi vinvi moy rae","sisu vinvi vinvi rae moy","svvmr","svvrm",0.8,"svkt","horiz","atop"
"9694","A100","crossed","head initial",3,"[[3,3],0]","false","tulsul tulsul sisu moy moy","tulsul tulsul sisu moy moy","ttsmm","ttsmm",1,"svkt","horiz","atop"
"9695","A100","crossed","head initial",3,"[[1,[1]],0]","false","vinvi vinvi sisu rae moy","vinvi vinvi sisu rae moy","vvsrm","vvsrm",1,"svkt","horiz","atop"
"9696","A100","crossed","head initial",3,"[[1,2],0]","false","vinvi konkan sisu moy moy","vinvi konkan sisu moy moy","vksmm","vksmm",1,"svkt","horiz","atop"
"9697","A100","crossed","head initial",4,"[3,[2,[2,[3]]]]","false","tulsul konkan tulsul konkan moy moy rae","tulsul konkan konkan tulsul moy moy rae","tktkmmr","tkktmmr",0.857142857142857,"svkt","horiz","atop"
"9698","A100","crossed","head initial",4,"[1,[[2,[2,1]]]]","false","vinvi konkan konkan vinvi rae moy moy","vinvi konkan konkan vinvi rae moy moy","vkkvrmm","vkkvrmm",1,"svkt","horiz","atop"
"9699","A100","crossed","head initial",4,"[[[3,1],[3]],3]","false","tulsul vinvi tulsul tulsul moy rae moy","tulsul vinvi tulsul tulsul moy rae moy","tvttmrm","tvttmrm",1,"svkt","horiz","atop"
"9700","A100","crossed","head initial",4,"[0,[[3,[[1,1]]]]]","false","sisu tulsul vinvi vinvi moy rae rae","sisu tulsul vinvi vinvi rae rae moy","stvvmrr","stvvrrm",0.714285714285714,"svkt","horiz","atop"
"9701","A100","crossed","head initial",4,"[[[0,1],0],[2]]","false","sisu konkan vinvi sisu moy moy rae","sisu vinvi sisu konkan moy moy rae","skvsmmr","svskmmr",0.714285714285714,"svkt","horiz","atop"
"9702","A100","crossed","head initial",4,"[[[2,0],1],2]","false","konkan sisu vinvi konkan moy moy moy","konkan sisu vinvi konkan moy moy moy","ksvkmmm","ksvkmmm",1,"svkt","horiz","atop"
"9703","A100","crossed","head initial",4,"[0,[3,[[0,[0]]]]]","false","sisu vinvi sisu sisu moy rae rae","sisu tulsul sisu sisu moy rae rae","svssmrr","stssmrr",0.857142857142857,"svkt","horiz","atop"
"9704","A100","crossed","head initial",4,"[[[2,[1]],[2]],[3]]","false","konkan vinvi konkan tulsul rae rae rae","konkan vinvi konkan tulsul rae rae rae","kvktrrr","kvktrrr",1,"svkt","horiz","atop"
"9705","A100","crossed","head initial",4,"[2,[0,[[2,3]]]]","false","konkan konkan tulsul sisu moy rae moy","konkan sisu konkan tulsul moy rae moy","kktsmrm","ksktmrm",0.714285714285714,"svkt","horiz","atop"
"9706","A100","crossed","head initial",4,"[[[1,[1]],3],0]","false","vinvi vinvi tulsul sisu rae moy moy","vinvi vinvi tulsul sisu rae moy moy","vvtsrmm","vvtsrmm",1,"svkt","horiz","atop"
"9707","A100","crossed","head initial",4,"[[[1,[0]],[0]],1]","false","vinvi sisu sisu vinvi rae rae moy","vinvi sisu sisu vinvi rae rae moy","vssvrrm","vssvrrm",1,"svkt","horiz","atop"
"9708","A100","crossed","head initial",4,"[[[3,3],[0]],[2]]","false","tulsul tulsul sisu konkan moy rae rae","tulsul tulsul sisu konkan moy rae rae","ttskmrr","ttskmrr",1,"svkt","horiz","atop"
"9765","A101","crossed","head final",1,"0","true","toltul","toltul","t","t",1,"tvsk","atop","horiz"
"9766","A101","crossed","head final",1,"1","true","vivin","vivin","v","v",1,"tvsk","atop","horiz"
"9767","A101","crossed","head final",1,"2","true","sasan","sasan","s","s",1,"tvsk","atop","horiz"
"9768","A101","crossed","head final",1,"3","true","koto","koto","k","k",1,"tvsk","atop","horiz"
"9769","A101","crossed","head final",2,"[3,3]","true","moy koto koto","moy koto koto","mkk","mkk",1,"tvsk","atop","horiz"
"9770","A101","crossed","head final",2,"[1,3]","true","rae koto vivin","moy koto vivin","rkv","mkv",0.666666666666667,"tvsk","atop","horiz"
"9771","A101","crossed","head final",2,"[0,[1]]","true","rae toltul vivin","rae vivin toltul","rtv","rvt",0.666666666666667,"tvsk","atop","horiz"
"9772","A101","crossed","head final",2,"[3,[1]]","true","rae koto vivin","rae vivin koto","rkv","rvk",0.666666666666667,"tvsk","atop","horiz"
"9773","A101","crossed","head final",2,"[2,[1]]","true","rae sasan vivin","rae vivin sasan","rsv","rvs",0.666666666666667,"tvsk","atop","horiz"
"9774","A101","crossed","head final",2,"[2,1]","true","moy sasan vivin","moy vivin sasan","msv","mvs",0.666666666666667,"tvsk","atop","horiz"
"9775","A101","crossed","head final",2,"[0,0]","true","moy koto koto","moy toltul toltul","mkk","mtt",0.333333333333333,"tvsk","atop","horiz"
"9776","A101","crossed","head final",2,"[3,[0]]","true","rae koto toltul","rae toltul koto","rkt","rtk",0.666666666666667,"tvsk","atop","horiz"
"9777","A101","crossed","head final",2,"[2,2]","false","moy sasan sasan","moy sasan sasan","mss","mss",1,"tvsk","atop","horiz"
"9778","A101","crossed","head final",2,"[2,[3]]","false","rae vivin koto","rae koto sasan","rvk","rks",0.333333333333333,"tvsk","atop","horiz"
"9779","A101","crossed","head final",2,"[0,[2]]","false","rae toltul vivin","rae sasan toltul","rtv","rst",0.333333333333333,"tvsk","atop","horiz"
"9780","A101","crossed","head final",2,"[0,1]","false","moy toltul vivin","moy vivin toltul","mtv","mvt",0.666666666666667,"tvsk","atop","horiz"
"9781","A101","crossed","head final",3,"[[3,[3]],[2]]","true","rae koto koto sasan sasan","rae rae sasan koto koto","rkkss","rrskk",0.4,"tvsk","atop","horiz"
"9782","A101","crossed","head final",3,"[2,[3,[0]]]","true","moy rae koto toltul vivin","rae moy toltul koto sasan","mrktv","rmtks",0.4,"tvsk","atop","horiz"
"9783","A101","crossed","head final",3,"[0,[[2,0]]]","true","moy rae toltul toltul vivin","moy rae toltul sasan toltul","mrttv","mrtst",0.6,"tvsk","atop","horiz"
"9784","A101","crossed","head final",3,"[[3,2],[0]]","true","moy rae koto sasan toltul","rae moy toltul sasan koto","mrkst","rmtsk",0.4,"tvsk","atop","horiz"
"9785","A101","crossed","head final",3,"[[1,[2]],[2]]","true","moy vivin sasan sasan sasan","rae rae sasan sasan vivin","mvsss","rrssv",0.4,"tvsk","atop","horiz"
"9786","A101","crossed","head final",3,"[1,[3,[3]]]","true","moy rae koto koto vivin","rae moy koto koto vivin","mrkkv","rmkkv",0.8,"tvsk","atop","horiz"
"9787","A101","crossed","head final",3,"[[1,[2]],2]","true","moy rae vivin sasan sasan","moy rae sasan sasan vivin","mrvss","mrssv",0.6,"tvsk","atop","horiz"
"9788","A101","crossed","head final",3,"[[0,3],[1]]","true","moy rae toltul koto vivin","rae moy vivin koto toltul","mrtkv","rmvkt",0.4,"tvsk","atop","horiz"
"9789","A101","crossed","head final",3,"[0,[[1,1]]]","false","moy rae toltul vivin vivin","moy rae vivin vivin toltul","mrtvv","mrvvt",0.6,"tvsk","atop","horiz"
"9790","A101","crossed","head final",3,"[[3,3],0]","false","rae koto koto toltul moy","moy moy toltul koto koto","rkktm","mmtkk",0.2,"tvsk","atop","horiz"
"9791","A101","crossed","head final",3,"[[1,[1]],0]","false","moy rae vivin vivin toltul","moy rae toltul vivin vivin","mrvvt","mrtvv",0.6,"tvsk","atop","horiz"
"9792","A101","crossed","head final",3,"[[1,2],0]","false","rae moy vivin sasan toltul","moy moy toltul sasan vivin","rmvst","mmtsv",0.4,"tvsk","atop","horiz"
"9793","A101","crossed","head final",4,"[3,[2,[2,[3]]]]","false","rae moy koto vivin koto sasan sasan","rae moy moy koto sasan sasan koto","rmkvkss","rmmkssk",0.571428571428571,"tvsk","atop","horiz"
"9794","A101","crossed","head final",4,"[1,[[2,[2,1]]]]","false","moy rae vivin koto sasan sasan sasan","moy moy rae vivin sasan sasan vivin","mrvksss","mmrvssv",0.571428571428571,"tvsk","atop","horiz"
"9795","A101","crossed","head final",4,"[[[3,1],[3]],3]","false","moy rae koto rae vivin koto koto","moy rae moy koto koto vivin koto","mrkrvkk","mrmkkvk",0.571428571428571,"tvsk","atop","horiz"
"9796","A101","crossed","head final",4,"[0,[[3,[[1,1]]]]]","false","rae moy toltul koto vivin vivin rae","moy rae rae vivin vivin koto toltul","rmtkvvr","mrrvvkt",0.285714285714286,"tvsk","atop","horiz"
"9797","A101","crossed","head final",4,"[[[0,1],0],[2]]","false","moy rae toltul vivin toltul sasan vivin","rae moy moy sasan toltul vivin toltul","mrtvtsv","rmmstvt",0.285714285714286,"tvsk","atop","horiz"
"9798","A101","crossed","head final",4,"[[[2,0],1],2]","false","moy moy vivin toltul vivin sasan sasan","moy moy moy sasan vivin toltul sasan","mmvtvss","mmmsvts",0.571428571428571,"tvsk","atop","horiz"
"9799","A101","crossed","head final",4,"[0,[3,[[0,[0]]]]]","false","moy koto toltul toltul toltul toltul toltul","rae rae moy toltul toltul koto toltul","mkttttt","rrmttkt",0.428571428571429,"tvsk","atop","horiz"
"9800","A101","crossed","head final",4,"[[[2,[1]],[2]],[3]]","false","moy rae rae sasan vivin sasan koto","rae rae rae koto sasan vivin sasan","mrrsvsk","rrrksvs",0.571428571428571,"tvsk","atop","horiz"
"9801","A101","crossed","head final",4,"[2,[0,[[2,3]]]]","false","moy rae vivin koto sasan toltul toltul","moy rae moy koto sasan toltul sasan","mrvkstt","mrmksts",0.714285714285714,"tvsk","atop","horiz"
"9802","A101","crossed","head final",4,"[[[1,[1]],3],0]","false","rae moy moy vivin vivin koto toltul","moy moy rae toltul koto vivin vivin","rmmvvkt","mmrtkvv",0.285714285714286,"tvsk","atop","horiz"
"9803","A101","crossed","head final",4,"[[[1,[0]],[0]],1]","false","moy rae rae vivin toltul toltul vivin","moy rae rae vivin toltul toltul vivin","mrrvttv","mrrvttv",1,"tvsk","atop","horiz"
"9804","A101","crossed","head final",4,"[[[3,3],[0]],[2]]","false","moy rae koto koto toltul vivin sasan","rae rae moy sasan toltul koto koto","mrkktvs","rrmstkk",0.285714285714286,"tvsk","atop","horiz"
"9869","A102","center-embedding","head final",1,"0","true","toltul","toltul","t","t",1,"tvsk","horiz","atop"
"9870","A102","center-embedding","head final",1,"1","true","vivin","vivin","v","v",1,"tvsk","horiz","atop"
"9871","A102","center-embedding","head final",1,"2","true","sasan","sasan","s","s",1,"tvsk","horiz","atop"
"9872","A102","center-embedding","head final",1,"3","true","koto","koto","k","k",1,"tvsk","horiz","atop"
"9873","A102","center-embedding","head final",2,"[3,3]","true","rae koto koto","moy koto koto","rkk","mkk",0.666666666666667,"tvsk","horiz","atop"
"9874","A102","center-embedding","head final",2,"[1,3]","true","moy koto vivin","moy koto vivin","mkv","mkv",1,"tvsk","horiz","atop"
